query_product,true_reactants,predicted_reactants,true_type,predicted_type,similarity,exact_match,partial_match,same_type
CNS(=O)(=O)c1ccc(C)cc1,Cc1ccc(S(=O)(=O)Cl)cc1.CN,Cc1ccc(S(=O)(=O)Cl)cc1.Nc1ccccc1,N-sulfonylation,N-sulfonylation,0.5517241379310345,False,True,True
CCNc1ccccc1,CC=O.Nc1ccccc1,CCBr.Nc1ccccc1,reductive-amination,N-alkylation,1.0,False,True,False
CCNC,CC=O.CN,CI.CCN,reductive-amination,N-alkylation,1.0,False,False,False
c1ccc(CNc2ccccc2)cc1,O=Cc1ccccc1.Nc1ccccc1,ClCc1ccccc1.Nc1ccccc1,reductive-amination,N-alkylation,1.0,False,True,False
CNCc1ccccc1,O=Cc1ccccc1.CN,CI.NCc1ccccc1,reductive-amination,N-alkylation,1.0,False,False,False
CC(C)Nc1ccccc1,CC(C)=O.Nc1ccccc1,CI.Nc1ccccc1,reductive-amination,N-alkylation,0.47619047619047616,False,True,False
CCCNc1ccccc1,CCC=O.Nc1ccccc1,CCCBr.Nc1ccccc1,reductive-amination,N-alkylation,1.0,False,True,False
CCCCNc1ccccc1,CCCC=O.Nc1ccccc1,CCCCBr.Nc1ccccc1,reductive-amination,N-alkylation,1.0,False,True,False
CCNCc1ccccc1,O=Cc1ccccc1.CCN,BrCc1ccccc1.CCN,reductive-amination,N-alkylation,1.0,False,True,False
O=C(Nc1ccccc1)Nc1ccccc1,O=C=Nc1ccccc1.Nc1ccccc1,O=C=Nc1ccccc1.CN,urea-formation,urea-formation,0.7272727272727273,False,True,True
CNC(=O)Nc1ccccc1,O=C=Nc1ccccc1.CN,O=C=Nc1ccccc1.Nc1ccccc1,urea-formation,urea-formation,0.7272727272727273,False,True,True
CCNC(=O)Nc1ccccc1,O=C=Nc1ccccc1.CCN,O=C=Nc1ccccc1.Nc1ccccc1,urea-formation,urea-formation,0.64,False,True,True
CCOC(=O)Nc1ccccc1,CCOC(=O)Cl.Nc1ccccc1,COC(=O)Cl.Nc1ccccc1,carbamate-formation,carbamate-formation,0.6428571428571429,False,True,True
COC(=O)Nc1ccccc1,COC(=O)Cl.Nc1ccccc1,CCOC(=O)Cl.Nc1ccccc1,carbamate-formation,carbamate-formation,0.6428571428571429,False,True,True
C(=N/c1ccccc1)\c1ccccc1,O=Cc1ccccc1.Nc1ccccc1,O=Cc1ccc(O)cc1.Nc1ccccc1,schiff-base,schiff-base,0.7083333333333334,False,True,True
CC=Nc1ccccc1,CC=O.Nc1ccccc1,O=Cc1ccccc1.Nc1ccccc1,schiff-base,schiff-base,0.5217391304347826,False,True,True
C(=N/Cc1ccccc1)\c1ccccc1,O=Cc1ccccc1.NCc1ccccc1,O=Cc1ccccc1.Nc1ccccc1,schiff-base,schiff-base,0.4444444444444444,False,True,True
Oc1ccc(/C=N/c2ccccc2)cc1,O=Cc1ccc(O)cc1.Nc1ccccc1,O=Cc1ccccc1.Nc1ccccc1,schiff-base,schiff-base,0.7083333333333334,False,True,True
CC(=O)Nc1nccs1,CC(=O)Cl.Nc1nccs1,CC(=O)OC(C)=O.Nc1nccs1,N-acylation,N-acylation,1.0,False,True,True
O=C(Nc1nccs1)c1ccccc1,O=C(Cl)c1ccccc1.Nc1nccs1,CC(=O)OC(C)=O.Nc1nccs1,N-acylation,N-acylation,0.5588235294117647,False,True,True
CNc1nccs1,CI.Nc1nccs1,CCBr.Nc1nccs1,N-alkylation,N-alkylation,0.5769230769230769,False,True,True
CCNc1nccs1,CCBr.Nc1nccs1,CI.Nc1nccs1,N-alkylation,N-alkylation,0.5769230769230769,False,True,True
c1ccc(CNc2nccs2)cc1,BrCc1ccccc1.Nc1nccs1,CCBr.Nc1nccs1,N-alkylation,N-alkylation,0.53125,False,True,True
CC(=O)Nc1nccs1,CC(=O)OC(C)=O.Nc1nccs1,CC(=O)Cl.Nc1nccs1,N-acylation,N-acylation,1.0,False,True,True
CS(=O)(=O)Nc1nccs1,CS(=O)(=O)Cl.Nc1nccs1,CI.Nc1nccs1,N-sulfonylation,N-alkylation,0.5357142857142857,False,True,False
CC(=O)Nc1ccc([N+](=O)[O-])cc1,CC(=O)Cl.Nc1ccc([N+](=O)[O-])cc1,O=C(Cl)c1ccccc1.Nc1ccc([N+](=O)[O-])cc1,N-acylation,N-acylation,0.5882352941176471,False,True,True
CNc1ccc([N+](=O)[O-])cc1,CI.Nc1ccc([N+](=O)[O-])cc1,CC(=O)Cl.Nc1ccc([N+](=O)[O-])cc1,N-alkylation,N-acylation,0.5862068965517241,False,True,False
CC(=O)Nc1ccccc1[N+](=O)[O-],CC(=O)Cl.Nc1ccccc1[N+](=O)[O-],CC(=O)Cl.Nc1ccc([N+](=O)[O-])cc1,N-acylation,N-acylation,0.4857142857142857,False,True,True
O=C(Nc1ccc([N+](=O)[O-])cc1)c1ccccc1,O=C(Cl)c1ccccc1.Nc1ccc([N+](=O)[O-])cc1,O=C(Cl)c1ccccc1.Nc1ccccc1,N-acylation,N-acylation,0.6333333333333333,False,True,True
